site,date,AOD
location_301387,2025-01-24,0.44672948
location_301387,2025-01-25,0.4218481
location_301387,2025-01-26,0.489027
location_301387,2025-01-27,0.44540942
location_301387,2025-01-28,0.5665992
location_301387,2025-01-29,0.38105455
location_301387,2025-01-30,-142.35063
location_301387,2025-01-31,0.37066764
location_301387,2025-02-01,0.64712876
location_301387,2025-02-02,0.42035732
location_301387,2025-02-03,-332.14178
location_301387,2025-02-04,0.52434057
location_301387,2025-02-05,0.5596367
location_301387,2025-02-06,0.6172882
location_301387,2025-02-07,0.47217217
location_301387,2025-02-08,-284.86673
location_301387,2025-02-09,0.44528165
location_301387,2025-02-10,0.5334599
location_301387,2025-02-11,0.49684167
location_301387,2025-02-12,0.5068361
location_301387,2025-02-13,0.48138478
location_301387,2025-02-14,0.5378748
location_301387,2025-02-15,0.5792258
location_301387,2025-02-16,0.6041172
location_301387,2025-02-17,0.51456404
location_301387,2025-02-18,0.6391912
location_301387,2025-02-19,0.5925347
location_301387,2025-02-20,0.7891809
location_301387,2025-02-21,0.7138118
location_301387,2025-02-22,0.65427417
location_301387,2025-02-23,1.081537
location_301387,2025-02-24,0.96992123
location_301387,2025-02-25,1.3989048
location_301387,2025-02-26,0.6456376
location_301387,2025-02-27,1.372263
location_301387,2025-02-28,-332.05225
location_301387,2025-03-01,0.7423968
location_301387,2025-03-02,-332.45706
location_301387,2025-03-03,0.9178813
location_301387,2025-03-04,-165.53046
location_301387,2025-03-05,-332.34827
location_301387,2025-03-06,0.8862732
location_301387,2025-03-07,-165.78687
location_301387,2025-03-08,-165.57246
location_301387,2025-03-09,0.9853187
location_301387,2025-03-10,-165.44638
location_301387,2025-03-11,0.7919829
location_301387,2025-03-12,0.929543
location_301387,2025-03-13,1.2013692
location_301387,2025-03-14,-165.59473
location_301387,2025-03-15,-165.43767
location_301387,2025-03-16,1.1676999
location_301387,2025-03-17,-332.27512
location_301387,2025-03-18,-165.46683
location_301387,2025-03-19,1.3699532
location_301387,2025-03-20,1.8153763
location_301387,2025-03-21,-165.59502
location_301387,2025-03-22,-165.62146
location_301387,2025-03-23,-165.6981
location_301387,2025-03-24,-165.7084
location_301387,2025-03-25,0.6378222
location_301387,2025-03-26,-332.64932
location_301387,2025-03-27,-599.081
location_301387,2025-03-28,-332.19846
location_301387,2025-03-29,-332.43365
location_301387,2025-03-30,-332.4207
location_301387,2025-03-31,-332.48007
location_301387,2025-04-01,-332.4019
location_301387,2025-04-02,-332.5303
location_301387,2025-04-03,-332.49545
location_301387,2025-04-04,-332.44678
location_301387,2025-04-05,-332.45142
location_301387,2025-04-06,-332.36496
location_301387,2025-04-07,-332.392
location_301387,2025-04-08,-332.4379
location_301387,2025-04-09,-332.39368
location_301387,2025-04-10,-332.4197
location_301387,2025-04-11,-332.44815
location_301387,2025-04-12,-332.45932
location_301387,2025-04-13,-332.51593
location_301387,2025-04-14,-332.47345
location_301387,2025-04-15,-332.52545
location_301387,2025-04-16,-332.5388
location_301387,2025-04-17,-332.4957
location_301387,2025-04-18,-332.49786
location_301387,2025-04-19,-499.11584
location_301387,2025-04-20,-332.36093
location_301387,2025-04-21,-332.44998
location_301387,2025-04-22,-499.09164
location_301387,2025-04-23,-332.48123
location_301387,2025-04-24,-332.50784
location_301387,2025-04-25,-665.7858
location_301387,2025-04-26,-332.47208
location_301387,2025-04-27,-499.10056
location_301387,2025-04-28,-332.45178
location_301387,2025-04-29,-332.47845
location_301387,2025-04-30,-332.4856
location_301387,2025-05-01,-427.72647
location_301387,2025-05-02,-427.76816
location_301387,2025-05-03,-427.709
location_301387,2025-05-04,-712.854
location_301387,2025-05-05,-999.0
location_301387,2025-05-06,-856.013
location_301387,2025-05-07,-999.0
location_301387,2025-05-08,-999.0
location_301387,2025-05-09,-856.0768
location_301387,2025-05-10,-427.34464
location_301387,2025-05-11,-999.0
location_301387,2025-05-12,-712.958
location_301387,2025-05-13,-856.05634
location_301387,2025-05-14,-427.56744
location_301387,2025-05-15,-427.42282
location_301387,2025-05-16,-427.49307
location_301387,2025-05-17,-427.5074
location_301387,2025-05-18,-570.325
location_301387,2025-05-19,-712.9871
location_301387,2025-05-20,-713.1182
location_301387,2025-05-21,-570.21844
location_301387,2025-05-22,-570.2716
location_301387,2025-05-23,-713.22125
location_301387,2025-05-24,-570.2422
location_301387,2025-05-25,-570.0944
location_301387,2025-05-26,-569.70337
location_301387,2025-05-27,-999.0
location_301387,2025-05-28,-999.0
location_301387,2025-05-29,-712.94305
location_301387,2025-05-30,-713.1234
location_301387,2025-05-31,-713.06433
location_301387,2025-06-01,-999.0
location_301387,2025-06-02,-999.0
location_301387,2025-06-03,-798.8325
location_301387,2025-06-04,-999.0
location_301387,2025-06-05,-999.0
location_301387,2025-06-06,-856.1675
location_301387,2025-06-07,-999.0
location_301387,2025-06-08,-999.0
location_301387,2025-06-09,-999.0
location_301387,2025-06-10,-999.0
location_301387,2025-06-11,-999.0
location_301387,2025-06-12,-999.0
location_301387,2025-06-13,-999.0
location_301387,2025-06-14,-999.0
location_301387,2025-06-15,-999.0
location_301387,2025-06-16,-999.0
location_301387,2025-06-17,-999.0
location_301387,2025-06-18,-999.0
location_6981,2025-01-18,0.35735583
location_6981,2025-01-19,0.3071485
location_6981,2025-01-20,0.34037066
location_6981,2025-01-21,0.4330522
location_6981,2025-01-22,0.39416876
location_6981,2025-01-23,0.6780329
location_6981,2025-01-24,1.1112334
location_6981,2025-01-25,-331.89874
