date,T2M,RH2M,U2M,V2M,PS,site
2025-04-01,301.18054,12.311004,2.0637414,-0.8816014,99437.07,location_234568
2025-04-02,301.45578,16.956743,1.4272512,-0.27227563,99592.88,location_234568
2025-04-03,303.49277,12.993713,1.3871592,-0.1562043,99666.84,location_234568
2025-04-04,303.49277,13.631717,1.8322934,-0.67949826,99457.71,location_234568
2025-04-05,303.73904,14.338784,1.7043601,-0.39366472,99297.37,location_234568
2025-04-06,304.92783,14.905122,0.80219895,-0.5828717,99277.664,location_234568
2025-04-07,304.49573,15.794032,-1.20422,0.18036304,99445.875,location_234568
2025-04-08,304.66684,29.320625,-2.1080768,-0.12866767,99595.21,location_234568
2025-04-09,305.42535,28.469795,-1.3606606,-0.24050921,99290.01,location_234568
2025-04-10,301.70572,47.314377,-2.084265,0.5540616,99057.32,location_234568
2025-04-11,302.76947,43.924915,-1.9668924,0.12581006,98987.65,location_234568
2025-04-12,303.29044,32.311382,-0.79017997,-0.62201244,99223.63,location_234568
2025-04-13,302.50095,34.13946,-0.9707361,-0.35628426,99445.47,location_234568
2025-04-14,302.1056,37.005863,-1.6619921,-0.04048264,99499.59,location_234568
2025-04-15,303.48672,38.677197,-1.767332,0.092163704,99437.695,location_234568
2025-04-16,304.356,32.260994,-1.4834064,0.3577408,99300.87,location_234568
2025-04-17,306.11163,30.453934,-0.56429464,0.4443188,99049.555,location_234568
2025-04-18,306.3638,31.48462,-2.1165333,0.6628049,98961.99,location_234568
2025-04-19,305.26843,37.411106,-2.3859274,0.6863332,99052.41,location_234568
2025-04-20,306.73697,28.377089,-0.8613072,1.1938919,99015.24,location_234568
2025-04-21,307.9255,21.436739,0.37946272,-0.047363132,99198.65,location_234568
2025-04-22,306.5435,10.740898,2.1905873,-1.069199,99198.71,location_234568
2025-04-23,305.79358,9.001027,2.8993347,-0.82033616,98949.56,location_234568
2025-04-24,307.5187,7.668121,1.8102216,-0.3284034,98888.91,location_234568
2025-04-25,308.75308,8.135341,0.9392188,-0.6231449,98925.055,location_234568
2025-04-26,308.0598,11.076936,0.21548074,-0.8712361,98929.29,location_234568
2025-04-27,306.38266,13.926255,0.69988006,-0.748214,99146.51,location_234568
2025-04-28,305.68552,21.63999,-2.4487026,0.18177164,99121.195,location_234568
2025-04-29,304.97598,27.564646,-3.2797718,0.24364384,99155.625,location_234568
2025-04-30,305.15646,35.437073,-3.454933,0.18969275,99305.41,location_234568
2025-05-01,305.7034,34.93958,-3.805995,-0.00828885,99382.35,location_234568
2025-05-02,305.34106,33.605064,-2.5375607,-0.13715322,99308.91,location_234568
2025-05-03,307.15884,28.406553,-0.36770678,-0.33237475,99056.586,location_234568
2025-05-04,307.60977,26.032274,-0.42000547,0.22573434,98980.43,location_234568
2025-05-05,306.0362,30.292143,-1.6784469,0.010399643,99097.78,location_234568
2025-05-06,306.14883,31.943918,-0.89136714,0.63782936,99114.664,location_234568
2025-05-07,307.637,32.19389,0.07862707,1.5333714,99000.27,location_234568
2025-05-08,305.97296,39.090374,1.1480573,1.8501357,99171.625,location_234568
2025-05-09,305.92084,37.888878,2.0107746,1.1044811,99258.24,location_234568
2025-05-10,308.02213,35.220333,1.5271066,0.8502249,99097.31,location_234568
2025-05-11,307.8721,34.105453,1.965106,-0.04167706,98883.06,location_234568
2025-05-12,307.831,25.578758,2.2297657,-1.357267,98780.98,location_234568
2025-05-13,308.83807,23.915415,2.0636744,-1.404821,98830.77,location_234568
2025-05-14,309.48984,23.088953,1.8659431,-0.9788637,98872.555,location_234568
2025-05-15,309.995,16.372417,1.49111,-0.36406446,98840.06,location_234568
2025-05-16,310.51578,16.962528,0.5340956,0.012599796,98762.71,location_234568
2025-05-17,310.55017,17.782227,0.5774056,-0.426545,98822.195,location_234568
2025-05-18,310.24084,24.118834,-0.5726251,-0.435524,98797.34,location_234568
2025-05-19,309.03513,32.341206,-2.6885672,-0.26773915,98819.52,location_234568
2025-05-20,310.33752,29.553596,-0.89660054,-0.31041887,98616.46,location_234568
2025-05-21,310.3297,29.56679,-3.3491204,0.89343095,98721.625,location_234568
2025-05-22,307.01553,42.5444,-2.9120653,-0.45894518,98803.93,location_234568
2025-05-23,307.7388,39.699757,-2.864752,0.314747,98614.125,location_234568
2025-05-24,308.0225,38.55444,-3.1598876,1.7942888,98732.77,location_234568
2025-05-25,308.09753,41.22417,-2.3935318,0.86779696,98878.23,location_234568
2025-05-26,308.05862,41.0738,-3.2086627,0.32813618,98666.29,location_234568
2025-05-27,308.54227,42.59789,-2.6085825,-0.53518635,98459.69,location_234568
2025-05-28,309.78137,38.46786,-1.6894444,-0.83104223,98245.09,location_234568
2025-05-29,310.64172,32.8714,0.026603358,-0.40542862,98064.875,location_234568
2025-05-30,310.65506,24.436934,1.3188468,-1.6358987,98095.57,location_234568
2025-05-31,308.32535,29.797728,1.528326,-0.571036,98379.6,location_234568
2025-06-01,308.68765,24.076782,2.9340067,-0.8215482,98406.38,location_234568
2025-01-18,287.6421,68.46277,0.2414555,0.2935185,99169.24,location_278671
2025-01-19,291.39395,60.90965,0.41833863,0.022004569,99030.914,location_278671
2025-01-20,292.29434,66.89864,1.2209779,-0.63499737,98894.51,location_278671
2025-01-21,292.39957,65.27854,0.79227215,0.026439311,98764.31,location_278671
2025-01-22,291.29254,69.83787,-0.28813288,0.6345051,98772.5,location_278671
2025-01-23,291.11838,67.866844,-0.15582639,0.00015812616,98809.47,location_278671
2025-01-24,289.02344,47.73772,1.0577573,-1.0130261,98961.37,location_278671
2025-01-25,289.4603,40.04646,1.3256775,-0.5998089,98956.76,location_278671
2025-01-26,289.76065,38.938515,0.4650165,0.16662444,98895.46,location_278671
2025-01-27,290.1962,37.362804,0.7192773,-0.059447546,98721.76,location_278671
2025-01-28,290.0504,40.243244,-0.06454405,0.6017776,98775.01,location_278671
2025-01-29,290.13324,45.635105,-1.1081202,0.78853625,98809.75,location_278671
2025-01-30,291.94962,45.766903,-0.05876097,0.5880522,98479.875,location_278671
2025-01-31,292.78387,41.35087,0.14305216,0.8963538,98474.195,location_278671
2025-02-01,293.27954,39.124832,1.047851,-0.011590195,98658.44,location_278671
2025-02-02,292.06366,44.262295,0.23444416,-0.81203264,98819.945,location_278671
2025-02-03,292.27155,48.35584,-0.7773439,0.25784206,98841.18,location_278671
2025-02-04,293.51715,55.977352,-0.4127591,0.093672045,98724.305,location_278671
2025-02-05,289.5007,47.18251,1.0226685,-1.6045185,98925.46,location_278671
2025-02-06,288.47604,39.23104,1.0291113,-1.488321,99112.35,location_278671
2025-02-07,288.9147,37.01259,1.603464,-0.8433189,99076.4,location_278671
2025-02-08,291.9904,26.594551,0.9184752,-0.2309088,98949.375,location_278671
2025-02-09,292.0358,34.629658,-0.115806736,0.5772117,98794.52,location_278671
2025-02-10,293.69583,41.131332,-0.23452444,0.3378222,98785.46,location_278671
2025-02-11,295.55258,35.115692,0.19014768,0.7193627,98708.4,location_278671
2025-02-12,292.22168,41.413975,1.2486764,-1.2709403,98880.23,location_278671
2025-02-13,291.2326,33.61031,1.8818554,-1.1614999,98932.305,location_278671
2025-02-14,293.56372,31.122889,1.5263425,-0.40411416,98736.25,location_278671
2025-02-15,296.34238,35.9709,0.9601143,0.929102,98455.24,location_278671
